iter	Passed	Remaining
421	2314	3170
422	2320	3164
423	2326	3160
424	2331	3154
425	2337	3149
426	2343	3145
427	2349	3140
428	2355	3135
429	2361	3130
430	2367	3125
431	2373	3120
432	2379	3115
433	2384	3109
434	2390	3104
435	2396	3099
436	2401	3094
437	2407	3089
438	2413	3084
439	2418	3077
440	2423	3071
441	2429	3066
442	2434	3061
443	2440	3056
444	2446	3051
445	2451	3045
446	2458	3041
447	2463	3035
448	2469	3030
449	2475	3025
450	2480	3019
451	2486	3015
452	2492	3010
453	2498	3004
454	2504	2999
455	2508	2993
456	2514	2987
457	2520	2982
458	2525	2976
459	2531	2971
460	2537	2966
461	2543	2961
462	2548	2956
463	2553	2950
464	2559	2944
465	2563	2938
466	2568	2932
467	2573	2925
468	2578	2919
469	2583	2912
470	2587	2906
471	2592	2900
472	2597	2894
473	2602	2888
474	2607	2882
475	2612	2875
476	2617	2869
477	2622	2863
478	2628	2859
479	2634	2853
480	2639	2848
481	2645	2842
482	2651	2837
483	2657	2832
484	2662	2827
485	2667	2821
486	2674	2816
487	2679	2811
488	2685	2806
489	2690	2800
490	2696	2795
491	2702	2790
492	2708	2784
493	2713	2779
494	2719	2774
495	2725	2769
496	2731	2764
497	2736	2758
498	2742	2753
499	2748	2748
500	2754	2743
501	2760	2738
502	2766	2733
503	2771	2727
504	2776	2721
505	2781	2715
506	2787	2710
507	2792	2704
508	2797	2698
509	2803	2693
510	2808	2687
511	2813	2681
512	2819	2676
513	2825	2671
514	2830	2665
515	2834	2659
516	2839	2652
517	2845	2647
518	2850	2641
519	2855	2635
520	2860	2630
521	2866	2624
522	2871	2618
523	2877	2613
524	2883	2608
525	2888	2602
526	2893	2596
527	2899	2591
528	2904	2586
529	2910	2580
530	2916	2575
531	2921	2570
532	2927	2564
533	2932	2559
534	2938	2554
535	2944	2548
536	2950	2543
537	2955	2537
538	2960	2531
539	2965	2525
540	2971	2520
541	2976	2514
542	2982	2509
543	2987	2504
544	2993	2499
545	2998	2493
546	3003	2487
547	3009	2482
548	3016	2477
549	3021	2472
550	3027	2467
551	3033	2461
552	3038	2455
553	3044	2450
554	3049	2445
555	3054	2439
556	3060	2434
557	3066	2428
558	3071	2423
559	3078	2418
560	3083	2413
561	3088	2407
562	3095	2402
563	3100	2397
564	3106	2391
565	3112	2386
566	3117	2380
567	3123	2375
568	3129	2370
569	3134	2364
570	3140	2359
571	3146	2354
572	3151	2348
573	3158	2344
574	3163	2338
575	3169	2332
576	3175	2328
577	3180	2322
578	3186	2317
579	3192	2312
580	3199	2307
581	3205	2302
582	3210	2296
583	3214	2289
584	3220	2284
585	3225	2278
586	3230	2273
587	3236	2267
588	3241	2261
589	3246	2256
590	3253	2251
591	3258	2245
592	3263	2240
593	3270	2235
594	3274	2229
595	3280	2223
596	3285	2217
597	3290	2211
598	3295	2206
599	3300	2200
600	3305	2194
601	3311	2189
602	3316	2183
603	3321	2177
604	3326	2171
605	3332	2166
606	3338	2161
607	3344	2156
608	3349	2150
609	3354	2144
610	3360	2139
611	3365	2133
612	3370	2128
613	3376	2122
614	3381	2117
615	3388	2112
616	3393	2106
617	3398	2100
618	3404	2095
619	3410	2090
620	3415	2084
621	3421	2079
622	3426	2073
623	3432	2068
624	3438	2062
625	3443	2057
626	3449	2051
627	3455	2046
628	3460	2040
629	3466	2035
630	3471	2030
631	3478	2025
632	3483	2019
633	3489	2014
634	3494	2008
635	3499	2003
636	3505	1997
637	3510	1991
638	3514	1985
639	3519	1979
640	3524	1974
641	3529	1968
642	3535	1963
643	3541	1957
644	3547	1952
645	3551	1946
646	3556	1940
647	3561	1934
648	3566	1928
649	3570	1922
650	3575	1916
651	3580	1910
652	3585	1905
653	3590	1899
654	3596	1894
655	3601	1888
656	3607	1883
657	3612	1877
658	3617	1872
659	3623	1866
660	3630	1861
661	3635	1856
662	3640	1850
663	3645	1844
664	3650	1838
665	3655	1833
666	3660	1827
667	3666	1822
668	3671	1816
669	3677	1811
670	3682	1805
671	3688	1800
672	3693	1794
673	3697	1788
674	3703	1782
675	3708	1777
676	3712	1771
677	3718	1765
678	3722	1759
679	3727	1754
680	3732	1748
681	3738	1743
682	3743	1737
683	3748	1731
684	3754	1726
685	3758	1720
686	3763	1714
687	3768	1709
688	3774	1703
689	3779	1698
690	3785	1692
691	3790	1687
692	3795	1681
693	3800	1675
694	3805	1670
695	3811	1664
696	3816	1658
697	3821	1653
698	3826	1647
699	3831	1641
700	3835	1636
701	3840	1630
702	3846	1624
703	3852	1619
704	3856	1613
705	3862	1608
706	3866	1602
707	3871	1596
708	3876	1591
709	3881	1585
